invoice_id,vendor_id,vendor_name,matter_type,invoice_number,date,total_amount,status
23,1,Smith & Associates,M&A,INV-2025-0023,2025-06-11,13158.455302858723,pending
24,5,Tech Legal Partners,M&A,INV-2024-0024,2024-12-09,19383.99556367735,paid
25,3,Legal Solutions Inc,Contract Review,INV-2025-0025,2025-04-12,7729.271169664693,paid
26,2,Johnson Legal,Litigation,INV-2025-0026,2025-02-27,3700.8460762746954,paid
27,4,Premier Law Group,M&A,INV-2024-0027,2024-10-20,7104.344412898152,paid
28,2,Johnson Legal,M&A,INV-2024-0028,2024-12-03,13674.496311806228,paid
29,1,Smith & Associates,Regulatory Compliance,INV-2025-0029,2025-01-01,16947.661563672114,pending
30,3,Legal Solutions Inc,Regulatory Compliance,INV-2025-0030,2025-03-02,8042.583771495952,paid
31,3,Legal Solutions Inc,Litigation,INV-2025-0031,2025-03-15,4288.128564639916,paid
32,5,Tech Legal Partners,M&A,INV-2025-0032,2025-05-22,14240.90872854728,paid
33,3,Legal Solutions Inc,M&A,INV-2025-0033,2025-05-01,7655.355960628787,paid
34,1,Smith & Associates,Regulatory Compliance,INV-2024-0034,2024-07-22,25400.16027387933,paid
35,3,Legal Solutions Inc,Litigation,INV-2025-0035,2025-04-15,6207.502225777411,paid
36,2,Johnson Legal,Contract Review,INV-2024-0036,2024-12-11,10723.885765193923,pending
37,1,Smith & Associates,Litigation,INV-2024-0037,2024-08-17,10629.712253602362,paid
38,1,Smith & Associates,M&A,INV-2024-0038,2024-10-24,5793.757186550879,paid
39,2,Johnson Legal,Litigation,INV-2024-0039,2024-09-13,4554.97992161015,paid
40,5,Tech Legal Partners,M&A,INV-2025-0040,2025-02-13,13199.65846902069,pending
41,3,Legal Solutions Inc,Regulatory Compliance,INV-2024-0041,2024-11-25,6028.481962770773,paid
42,4,Premier Law Group,Patent Filing,INV-2025-0042,2025-02-07,5853.743775659992,paid
43,5,Tech Legal Partners,Regulatory Compliance,INV-2025-0043,2025-05-26,32624.31243910876,paid
44,1,Smith & Associates,Contract Review,INV-2024-0044,2024-08-02,4963.2288293713,paid
45,5,Tech Legal Partners,Litigation,INV-2024-0045,2024-08-29,4967.271850650286,paid
46,4,Premier Law Group,Contract Review,INV-2025-0046,2025-02-06,3726.801608325967,paid
47,3,Legal Solutions Inc,Contract Review,INV-2024-0047,2024-10-17,13552.254431414134,paid
48,3,Legal Solutions Inc,Regulatory Compliance,INV-2024-0048,2024-10-14,21112.401499042637,paid
49,1,Smith & Associates,Litigation,INV-2025-0049,2025-02-11,6597.307474327782,paid
50,1,Smith & Associates,Patent Filing,INV-2025-0050,2025-04-27,16814.211327466866,paid
51,3,Legal Solutions Inc,Contract Review,INV-2024-0051,2024-11-14,4721.327928137944,paid
52,5,Tech Legal Partners,Patent Filing,INV-2024-0052,2024-07-29,8639.659325645212,paid
53,3,Legal Solutions Inc,Contract Review,INV-2025-0053,2025-01-16,2551.49913693936,paid
54,2,Johnson Legal,Litigation,INV-2025-0054,2025-02-05,8899.12048601763,paid
55,3,Legal Solutions Inc,Patent Filing,INV-2024-0055,2024-08-24,32665.45163475487,paid
56,1,Smith & Associates,Patent Filing,INV-2024-0056,2024-07-03,15318.601990497433,pending
57,1,Smith & Associates,Litigation,INV-2024-0057,2024-09-08,13959.39422912132,paid
58,2,Johnson Legal,M&A,INV-2024-0058,2024-11-10,3344.9813622865095,paid
59,2,Johnson Legal,Litigation,INV-2024-0059,2024-07-09,17201.35140491304,paid
60,4,Premier Law Group,Regulatory Compliance,INV-2024-0060,2024-08-09,13511.968860487405,paid
61,4,Premier Law Group,Contract Review,INV-2025-0061,2025-04-07,25609.0046498693,paid
62,3,Legal Solutions Inc,Regulatory Compliance,INV-2024-0062,2024-08-09,14819.534171673386,pending
63,3,Legal Solutions Inc,M&A,INV-2024-0063,2024-06-28,9052.97708807613,paid
64,1,Smith & Associates,Patent Filing,INV-2024-0064,2024-08-10,32448.783948220564,paid
65,4,Premier Law Group,Contract Review,INV-2024-0065,2024-12-14,10191.909834343194,pending
66,2,Johnson Legal,Contract Review,INV-2025-0066,2025-01-07,15317.031086947716,paid
67,4,Premier Law Group,Litigation,INV-2025-0067,2025-03-08,16471.665902745866,pending
68,4,Premier Law Group,Contract Review,INV-2024-0068,2024-08-14,13643.491345652004,paid
69,3,Legal Solutions Inc,Regulatory Compliance,INV-2024-0069,2024-08-07,9532.019306207334,pending
70,3,Legal Solutions Inc,Regulatory Compliance,INV-2024-0070,2024-06-29,5696.048434542841,paid
71,1,Smith & Associates,Litigation,INV-2025-0071,2025-05-30,3305.1222068853267,paid
72,1,Smith & Associates,Patent Filing,INV-2024-0072,2024-07-15,8939.254696472912,paid
73,2,Johnson Legal,Patent Filing,INV-2024-0073,2024-09-13,12298.388163225058,paid
74,1,Smith & Associates,Patent Filing,INV-2024-0074,2024-10-31,14793.25933106587,paid
75,3,Legal Solutions Inc,Regulatory Compliance,INV-2025-0075,2025-02-25,3144.933118957844,paid
76,1,Smith & Associates,Regulatory Compliance,INV-2024-0076,2024-08-30,16739.760888734138,paid
77,5,Tech Legal Partners,M&A,INV-2025-0077,2025-01-03,21315.815905133066,paid
78,2,Johnson Legal,Regulatory Compliance,INV-2025-0078,2025-02-13,984.6123129382283,paid
79,4,Premier Law Group,M&A,INV-2024-0079,2024-12-14,17024.08729852743,paid
80,5,Tech Legal Partners,Litigation,INV-2025-0080,2025-01-24,5708.356550359235,paid
81,5,Tech Legal Partners,Contract Review,INV-2025-0081,2025-05-20,9560.526828971106,paid
82,2,Johnson Legal,M&A,INV-2025-0082,2025-03-31,10583.62667969558,paid
83,5,Tech Legal Partners,Contract Review,INV-2025-0083,2025-01-05,8909.192406326216,paid
84,1,Smith & Associates,Litigation,INV-2024-0084,2024-09-10,1265.0299117654079,paid
85,4,Premier Law Group,Patent Filing,INV-2025-0085,2025-04-08,23215.32651757734,paid
86,4,Premier Law Group,M&A,INV-2025-0086,2025-03-17,5945.422618182802,paid
87,2,Johnson Legal,Litigation,INV-2024-0087,2024-12-28,18843.232834845738,pending
88,3,Legal Solutions Inc,Contract Review,INV-2024-0088,2024-09-27,10118.326859496052,pending
89,5,Tech Legal Partners,M&A,INV-2025-0089,2025-03-15,8179.526914986849,paid
90,2,Johnson Legal,Litigation,INV-2025-0090,2025-03-24,13918.634407575275,paid
91,5,Tech Legal Partners,Litigation,INV-2025-0091,2025-05-22,13559.701877514724,pending
92,5,Tech Legal Partners,Regulatory Compliance,INV-2024-0092,2024-08-17,36240.2396231404,pending
93,1,Smith & Associates,Patent Filing,INV-2025-0093,2025-04-22,8977.988745207467,paid
94,5,Tech Legal Partners,Litigation,INV-2025-0094,2025-05-29,13137.604384152633,paid
95,5,Tech Legal Partners,Regulatory Compliance,INV-2024-0095,2024-12-15,33433.69024190027,paid
96,1,Smith & Associates,Regulatory Compliance,INV-2025-0096,2025-01-15,4648.971149975479,paid
97,2,Johnson Legal,Contract Review,INV-2024-0097,2024-12-05,4347.35544128642,paid
98,3,Legal Solutions Inc,M&A,INV-2024-0098,2024-12-23,20519.423029189187,paid
99,1,Smith & Associates,M&A,INV-2025-0099,2025-01-12,1854.121141955703,pending
100,1,Smith & Associates,Contract Review,INV-2025-0100,2025-06-19,9987.833086826307,paid
101,5,Tech Legal Partners,M&A,INV-2024-0101,2024-11-03,5593.619328789859,paid
102,2,Johnson Legal,Contract Review,INV-2024-0102,2024-10-08,7367.929188929497,paid
103,4,Premier Law Group,Litigation,INV-2025-0103,2025-05-17,38794.67260487921,paid
104,4,Premier Law Group,Contract Review,INV-2024-0104,2024-10-30,7747.302870092686,paid
105,2,Johnson Legal,Regulatory Compliance,INV-2025-0105,2025-05-17,3275.771219551885,paid
106,2,Johnson Legal,Contract Review,INV-2025-0106,2025-02-19,13642.097193406482,paid
107,5,Tech Legal Partners,Contract Review,INV-2025-0107,2025-06-05,17519.455332426827,paid
108,1,Smith & Associates,M&A,INV-2025-0108,2025-03-13,20631.395217333094,paid
109,3,Legal Solutions Inc,Litigation,INV-2024-0109,2024-07-04,7670.535411264537,paid
110,3,Legal Solutions Inc,M&A,INV-2024-0110,2024-11-13,14842.986469721685,paid
111,4,Premier Law Group,M&A,INV-2024-0111,2024-11-12,5235.336372676262,paid
112,5,Tech Legal Partners,M&A,INV-2024-0112,2024-09-24,6976.289593281865,paid
113,5,Tech Legal Partners,Patent Filing,INV-2025-0113,2025-03-01,9655.311523427514,pending
114,1,Smith & Associates,Patent Filing,INV-2025-0114,2025-03-30,4495.036831752379,paid
115,2,Johnson Legal,Regulatory Compliance,INV-2024-0115,2024-11-28,6080.774897081874,paid
116,1,Smith & Associates,Regulatory Compliance,INV-2024-0116,2024-09-15,24761.52757031372,paid
117,5,Tech Legal Partners,Patent Filing,INV-2024-0117,2024-10-08,7092.94331627823,paid
118,1,Smith & Associates,M&A,INV-2024-0118,2024-09-23,7887.092744199336,paid
119,2,Johnson Legal,Contract Review,INV-2025-0119,2025-01-30,5678.516818531883,paid
120,2,Johnson Legal,Litigation,INV-2025-0120,2025-01-20,1736.412653470793,pending
121,3,Legal Solutions Inc,Patent Filing,INV-2025-0121,2025-05-26,7395.87712614658,paid
122,5,Tech Legal Partners,Regulatory Compliance,INV-2025-0122,2025-03-23,10769.228420728547,paid
123,3,Legal Solutions Inc,Litigation,INV-2025-0123,2025-02-09,8963.631302033406,paid
124,3,Legal Solutions Inc,M&A,INV-2025-0124,2025-03-29,20263.761589624533,paid
125,5,Tech Legal Partners,Regulatory Compliance,INV-2024-0125,2024-10-06,6914.92915750678,pending
126,2,Johnson Legal,Patent Filing,INV-2024-0126,2024-10-18,26811.709600875412,paid
127,2,Johnson Legal,Contract Review,INV-2024-0127,2024-09-26,13762.817949007589,paid
128,5,Tech Legal Partners,Litigation,INV-2025-0128,2025-03-03,10862.165182455978,pending
129,1,Smith & Associates,Contract Review,INV-2025-0129,2025-02-02,18550.24956150035,paid
130,5,Tech Legal Partners,M&A,INV-2024-0130,2024-09-09,34625.1777162379,pending
131,2,Johnson Legal,Regulatory Compliance,INV-2025-0131,2025-04-16,10808.063028319903,paid
132,1,Smith & Associates,Contract Review,INV-2024-0132,2024-09-28,6336.072200738427,paid
133,3,Legal Solutions Inc,M&A,INV-2025-0133,2025-05-03,25770.879472289587,paid
134,5,Tech Legal Partners,M&A,INV-2025-0134,2025-06-10,14301.609050373288,paid
135,2,Johnson Legal,Regulatory Compliance,INV-2024-0135,2024-10-04,17828.28505846215,pending
136,1,Smith & Associates,Litigation,INV-2025-0136,2025-02-05,7397.226548368699,paid
137,3,Legal Solutions Inc,Patent Filing,INV-2025-0137,2025-04-21,11555.592073291265,paid
138,2,Johnson Legal,Litigation,INV-2024-0138,2024-12-15,9307.367833809356,paid
139,3,Legal Solutions Inc,Litigation,INV-2025-0139,2025-01-05,5647.746460363369,paid
140,1,Smith & Associates,Contract Review,INV-2024-0140,2024-07-30,21271.22123310304,paid
141,5,Tech Legal Partners,Regulatory Compliance,INV-2024-0141,2024-09-28,17788.862376841626,paid
142,5,Tech Legal Partners,Patent Filing,INV-2025-0142,2025-04-07,14848.6938297928,paid
143,4,Premier Law Group,M&A,INV-2025-0143,2025-01-19,19827.08091203033,pending
144,2,Johnson Legal,M&A,INV-2025-0144,2025-03-23,19967.289520072572,paid
145,3,Legal Solutions Inc,Litigation,INV-2024-0145,2024-12-19,14600.321488167683,paid
146,4,Premier Law Group,Patent Filing,INV-2025-0146,2025-03-28,18209.76708834664,paid
147,1,Smith & Associates,Litigation,INV-2024-0147,2024-12-04,2036.4120058935746,paid
148,2,Johnson Legal,Patent Filing,INV-2024-0148,2024-11-28,4721.185708002646,paid
149,3,Legal Solutions Inc,Regulatory Compliance,INV-2024-0149,2024-12-21,9645.208303826521,paid
150,3,Legal Solutions Inc,Patent Filing,INV-2025-0150,2025-02-06,18752.069333447347,paid
151,4,Premier Law Group,M&A,INV-2024-0151,2024-11-01,2518.27268558303,paid
152,5,Tech Legal Partners,Contract Review,INV-2025-0152,2025-04-21,26766.159745184144,pending
153,1,Smith & Associates,Patent Filing,INV-2025-0153,2025-06-01,9493.347585852873,paid
154,4,Premier Law Group,M&A,INV-2025-0154,2025-01-12,31452.72434247744,paid
155,4,Premier Law Group,M&A,INV-2025-0155,2025-03-13,11493.963898569393,paid
156,5,Tech Legal Partners,Regulatory Compliance,INV-2024-0156,2024-09-05,3126.2936855296457,paid
157,2,Johnson Legal,Patent Filing,INV-2025-0157,2025-02-03,11422.691897528624,paid
158,3,Legal Solutions Inc,M&A,INV-2025-0158,2025-04-22,8102.895412089157,paid
159,1,Smith & Associates,Regulatory Compliance,INV-2024-0159,2024-07-28,8967.15810699915,paid
160,2,Johnson Legal,Litigation,INV-2024-0160,2024-09-19,6398.14640341414,paid
161,3,Legal Solutions Inc,Contract Review,INV-2024-0161,2024-07-16,14915.94092657453,pending
162,2,Johnson Legal,M&A,INV-2025-0162,2025-02-13,5200.353759657281,paid
163,2,Johnson Legal,M&A,INV-2025-0163,2025-02-16,14491.92701833635,paid
164,5,Tech Legal Partners,M&A,INV-2025-0164,2025-01-04,31561.677794848485,paid
165,2,Johnson Legal,Regulatory Compliance,INV-2025-0165,2025-01-03,11839.157665770297,pending
166,3,Legal Solutions Inc,Regulatory Compliance,INV-2024-0166,2024-10-10,4869.5044775201695,paid
167,5,Tech Legal Partners,Patent Filing,INV-2024-0167,2024-11-20,9800.179674869676,paid
168,3,Legal Solutions Inc,Patent Filing,INV-2024-0168,2024-08-13,9342.200593180289,pending
169,2,Johnson Legal,Regulatory Compliance,INV-2025-0169,2025-01-10,24613.887719755538,pending
170,1,Smith & Associates,M&A,INV-2025-0170,2025-05-25,23328.266121501747,paid
171,2,Johnson Legal,Patent Filing,INV-2025-0171,2025-01-09,18489.634552659438,paid
172,1,Smith & Associates,Contract Review,INV-2025-0172,2025-05-20,7145.527319903228,paid
173,2,Johnson Legal,M&A,INV-2024-0173,2024-12-21,5811.459063016999,paid
174,3,Legal Solutions Inc,M&A,INV-2024-0174,2024-09-07,7363.167567970237,paid
175,4,Premier Law Group,Patent Filing,INV-2025-0175,2025-04-14,10711.732128306083,paid
176,4,Premier Law Group,Patent Filing,INV-2025-0176,2025-04-20,11094.982501754865,pending
177,2,Johnson Legal,Contract Review,INV-2024-0177,2024-08-05,7089.5426454270155,paid
178,3,Legal Solutions Inc,Regulatory Compliance,INV-2024-0178,2024-11-17,9796.109717456997,paid
179,4,Premier Law Group,Litigation,INV-2025-0179,2025-01-06,7891.058671019744,paid
180,4,Premier Law Group,Litigation,INV-2024-0180,2024-11-21,15688.954534951758,paid
181,5,Tech Legal Partners,Regulatory Compliance,INV-2024-0181,2024-09-13,13452.010497436275,paid
182,4,Premier Law Group,Litigation,INV-2024-0182,2024-08-28,2423.6648083195123,paid
183,1,Smith & Associates,M&A,INV-2024-0183,2024-12-21,16580.356010060543,pending
184,4,Premier Law Group,Litigation,INV-2025-0184,2025-03-10,24801.66960767586,pending
185,3,Legal Solutions Inc,Patent Filing,INV-2025-0185,2025-02-18,10661.177152541544,paid
186,1,Smith & Associates,Patent Filing,INV-2024-0186,2024-10-16,5315.744722432106,paid
187,2,Johnson Legal,Regulatory Compliance,INV-2024-0187,2024-09-17,15670.726486788713,paid
188,5,Tech Legal Partners,Regulatory Compliance,INV-2025-0188,2025-03-27,30322.472636866238,pending
189,4,Premier Law Group,M&A,INV-2024-0189,2024-12-26,17960.965114581933,paid
190,2,Johnson Legal,Regulatory Compliance,INV-2024-0190,2024-11-21,5630.410918247506,paid
191,3,Legal Solutions Inc,Patent Filing,INV-2025-0191,2025-05-10,19220.77602305294,paid
192,5,Tech Legal Partners,Regulatory Compliance,INV-2024-0192,2024-10-26,6959.251121574629,paid
193,5,Tech Legal Partners,Regulatory Compliance,INV-2025-0193,2025-01-19,12863.755306992925,paid
194,5,Tech Legal Partners,Litigation,INV-2025-0194,2025-01-05,19912.490478250365,paid
195,5,Tech Legal Partners,Patent Filing,INV-2025-0195,2025-03-29,15246.139534428048,paid
196,5,Tech Legal Partners,Litigation,INV-2024-0196,2024-12-10,32741.643265769355,paid
197,3,Legal Solutions Inc,Patent Filing,INV-2024-0197,2024-06-27,5198.749363195999,paid
198,2,Johnson Legal,Contract Review,INV-2024-0198,2024-11-12,11806.410497795418,paid
199,2,Johnson Legal,Patent Filing,INV-2025-0199,2025-03-30,11395.999066293525,paid
200,3,Legal Solutions Inc,M&A,INV-2024-0200,2024-12-03,9258.561981800423,paid
