country,founded,id,industry,linkedin_url,locality,name,region,size,website
united states,1985,fli9hWgNTXBhWG7IeYfUHwIMPmaD,legal services,linkedin.com/company/the-hartnett-law-firm,dallas,the hartnett law firm,texas,1-10,hartnettlawfirm.com
denmark,,QBDe9irCPBWe8CjydBhwKgfeQkIr,legal services,linkedin.com/company/dlspclaw,,dizon lapuz santos penus & cariaga law office,hovedstaden,1-10,
france,2012,J5xM2BHwezzM3tsxGs3ufwGPRG8g,computer software,linkedin.com/company/nablaware,la ciotat,nablaware,provence-alpes-côte d'azur,1-10,nablaware.fr
,2022,428uZnY6w8SXYU2RwSFCEAFUytk1,law practice,linkedin.com/company/abogadospp,,p&p abogados,,1-10,abogadospp.com
france,,iGo1SOhS04BsfddgpQa5jg148LmJ,legal services,linkedin.com/company/freitas-elisabeth,châtenay-malabry,freitas elisabeth,île-de-france,1-10,
thailand,,FsIwtI2qdtEZ9r11PKqqrQDkpGRI,,linkedin.com/company/asian-legal-tax-strategies-thailand,,asian legal tax strategies thailand,bangkok,1-10,asianlegal.co.th
brazil,,HCUgKwfjx0qNJcxXp7RQfQSe2wBb,law practice,linkedin.com/company/toledo-pizza,várzea grande,toledo  pizza,piauí,1-10,toledoepizza.com.br
united states,,LHspEZqJF4L1G5nPgE7vhAaPQf2A,legal services,linkedin.com/company/north-township-trustee,bremen,north township trustee,indiana,1-10,
canada,,pxyZyBTD9OAjoSQc8mnYQglm0yAU,legal services,linkedin.com/company/tapper-cuddy-llp,winnipeg,tapper cuddy llp,manitoba,51-200,tappercuddy.com
united states,2017,3rNm9GByQOPUCAkqnxA8KwyYmhrB,law practice,linkedin.com/company/unlock-legal,tustin,unlock legal - professional license defense firm,california,1-10,unlocklegal.com
united states,,J0cvMrs3u1jxYvAcvU48ZAFsvwZm,facilities services,linkedin.com/company/valley-lawn-company,germantown,valley lawn company,new york,1-10,valleylawnco.com
mexico,,u7hPp56aw7x0BLb2XvK5sg4wFc1z,law practice,linkedin.com/company/colegio-cristiano-emmanuel,los cazadores,colegio cristiano emmanuel,sonora,1-10,emmanuel.cl
united states,2001,xLTX3dEZewD3BlgOrV0VbgFoLeDA,law practice,linkedin.com/company/the-law-firm-of-schiller-&-pittenger-p-c-,scotch plains,"schiller & pittenger, p.c.",new jersey,11-50,sp-lawyers.com
italy,2013,Vt4GePNyu2hzEvpsycY6CQlPp7Hv,legal services,linkedin.com/company/associazione-alleanza-e-tutela-consumatori,alcamo,alleanza e tutela consumatori,sicily,1-10,alleanzatutela.it
united states,2022,HVFXnE9FBcNke3zHMUBYVgxr2e5U,legal services,linkedin.com/company/breathe-brand-protection-pllc,traverse city,"breathe brand protection, pllc",michigan,1-10,breathe.law
france,,Kn9QNOLruLwXHDWObgBsig1npQOM,legal services,linkedin.com/company/vincent-lacombe-avocat,paris,vincent lacombe avocat,île-de-france,1-10,
united states,,1Dhuwdl2em5jDZjgTARseQRkyijC,law practice,linkedin.com/company/berkman-gordon-murray-&-de-van,cleveland,berkman gordon murray & de van,ohio,1-10,berkmangordonmurrayanddevanlaw.com
united states,,vBBAgRVjIYMJUBFVhiyo2QehwuhL,law practice,linkedin.com/company/bo-lee-law-group-apc,los angeles,"bo lee law group, apc",california,1-10,bllglaw.com
united states,1995,IjX6vzkvRtT06I4BhJ6FBggIA6Uh,law practice,linkedin.com/company/galier-associates-p-c,oklahoma city,"galier & associates, p.c.",oklahoma,1-10,galierlaw.com
,,u0sivdX5XvJ1B48YH3nm7g64c0AY,law practice,linkedin.com/company/charles-de-waël-avocat,,charles de waël avocat,,1-10,cdw-avocat.fr
united states,,8biqoa7BPhBev1QLoG2pCw0OWUHy,legal services,linkedin.com/company/hardage-hotels-i-llc,san diego,hardage hotels i llc,california,1-10,
united states,,2UyJaDFJCovwnnXYPnmFRgIIstYU,law practice,linkedin.com/company/jenkins-law-plc,,jenkins law plc,,1-10,pauljenkinslaw.com
south africa,2012,0fWK3uCDpUJhUBMYEZbEKgMowFGn,legal services,linkedin.com/company/savvic-statutory-services-pty-ltd,port elizabeth,savvic statutory services (pty) ltd,,1-10,getacompany.co.za
,,6vahITQw799UbDX59qcmwQQYBtEO,legal services,linkedin.com/company/independent-legal-services-professional,,independent legal services professional,,1-10,silvestrilex.com
france,2021,Rw1WC2vWTeM2vsBJEFEDLwaH3Imf,law practice,linkedin.com/company/pechmeze,paris,pechmeze,île-de-france,1-10,pechmeze.com
united states,2016,reEaGZFlPAEd38PbBQWQCwBHcDnr,law practice,linkedin.com/company/mcnabola-&-associates-llc,chicago,"mcnabola & associates, llc",illinois,1-10,personalinjurylawchicago.com
united states,,8HMlVFhFzDoLSnLchhCBRQYjLqq8,law practice,linkedin.com/company/cindy-a-goldstein-pa,coral springs,cindy a goldstein pa,florida,1-10,cindygoldsteinlaw.com
united states,,sHyX0W3hTHdwWe0NEsEsSAa7dmaR,facilities services,linkedin.com/company/dream-green-irrigation-and-lawn-care,waverly,dream green irrigation and lawn care,michigan,11-50,dreamgreenmn.com
united states,,mIcaZ4pCiftSljCEnrBaPQXwPbsW,law practice,linkedin.com/company/nowland-stone-llp,newport beach,nowland stone llp,california,1-10,nowlandstone.com
norway,,aqJrtZP1KCsXV2kRC4QarAlpIMRh,legal services,linkedin.com/company/advokatfirmaet-erik-engemoen,sandvika,advokatfirmaet erik engemoen,akershus,1-10,
united states,,k2X6yfTBPQC16xIFPY4S9ATFTa65,,linkedin.com/company/elmm-law-group,phoenix,elmm law group,arizona,1-10,elmmlawgroup.com
mexico,,GNX0qdbyddfw24OugNlZLg2Fv8wI,law practice,linkedin.com/company/cobranza-estratégica,,cobranza estratégica,san luis potosí,11-50,
belgium,,VIdzjMjmQrXvkJlECGkf5gAdz530,law practice,linkedin.com/company/notaire-christophe-declerck,herstal,notaire christophe declerck,wallonia,1-10,notairedeclerck.be
,2024,CBFvROhNfz7yKCGN65Ehmgf0wlna,law practice,linkedin.com/company/colectivo-205,,colectivo 205 🇵🇪,,11-50,instagram.com/colectivo205.peru
united states,,AzUrhb5DLXOb2C5L4MCC3w2pSGXJ,law practice,linkedin.com/company/nh-supreme-court-professional,concord,nh supreme court professional,new hampshire,11-50,
united states,,jTOd5CDkwlxtevx1RVDZvALlwqj9,law practice,linkedin.com/company/ciriclawfirm,new york,"the ciric law firm, pllc",new york,1-10,ciriclawfirm.com
united states,2010,bXBX18BmRyAaKvLomg4lcwjaltnu,legal services,linkedin.com/company/ip-edge-llc,mckinney,ip edge llc,texas,1-10,ip-edge.com
united states,,gclTeSqkfRIC156ra7wcEQlFUuLU,,linkedin.com/company/wild-sunflower-counseling,ogden,wild sunflower counseling,utah,1-10,wildsunflowercounseling.com
germany,2007,wHcjdp17f0hF3xmVWv6eUAbY5VRs,law practice,linkedin.com/company/munich-mma,münchen,munich mma,bavaria,1-10,munich-mma.de
united states,,Ibknp68v7bJAUQDcxUOwBgVAaGPm,legal services,linkedin.com/company/trade-secret-institute,,trade secrets institute,new york,1-10,
united states,,Igx0D9Yq4qCY3cTuORqp8w0OfJjz,,linkedin.com/company/law-offices-of-marc-h-weitzman-llp,seal beach,law offices of marc h weitzman llp,california,11-50,
united states,,UpUcf10ebr72BLvVfeYxUgUHAQqE,law practice,linkedin.com/company/simpson-deardorff,milwaukee,simpson & deardorff,wisconsin,11-50,simpsondeardorff.com
united states,,4CB8B5To8kZKMfhazfWbJwvaQBhn,,linkedin.com/company/hazen-lawn-care-&-snow-plowing-llc,stevensville,hazen lawn care & snow plowing llc,michigan,1-10,
germany,2020,HIYt7eMqCiuKs8ZP0vrdUAJhH2ea,law practice,linkedin.com/company/bckip,münchen,bckip european and german patent attorneys,bavaria,1-10,bckip.com
canada,2003,7t001w6YEDq0tn202LvrQgSYpkFZ,law practice,linkedin.com/company/murrin-law-office,whitehorse,murrin law,yukon,1-10,murrinlawoffice.ca
united states,2019,WBJSMTINZa1uUdwKB5hCcArAF0nf,law practice,linkedin.com/company/carbone-law-llc,staten island,carbone law,new york,1-10,carboneattorneys.com
,2020,h8CzP7CrkBR3t4ldp1CmngIcLZVF,legal services,linkedin.com/company/deakin-law-alternative,,deakin law alternative,,1-10,facebook.com/deakinlawalternative
united states,,97fLISWgw1q5B7c9Mw7BnAadDyYQ,law practice,linkedin.com/company/pappas-and-lenzo-llp,boston,pappas and lenzo llp,massachusetts,1-10,
united states,,6ZmuqZ0rbPWbrjN6s2Pb8A8j1sge,legal services,linkedin.com/company/williams-investigation,cleveland,williams investigation,ohio,1-10,williamsinvestigations.net
germany,2021,qLbmOK2D7WNcKBsGDFCmDwxZ53jN,legal services,linkedin.com/company/calvor,bonn,calvor gmbh - gesellschaft für prozessfinanzierung und konfliktmanagement,north rhine-westphalia,1-10,
france,,WdPNlJIfaLVpDTjlEXsVowmhcblC,,linkedin.com/company/hôtel-de-montesquieu,paris,hôtel de montesquieu,île-de-france,1-10,
poland,,xO5rALtGDV5bOo8ugC4z7A9cYTeZ,legal services,linkedin.com/company/libido-architekci,,libido architekci,łódź,1-10,libidoarchitekci.pl
united states,,IuBXJi0bJG6O3CWpStBJZgFPNEQk,law practice,linkedin.com/company/gateley-legal,minerva,gateley legal,ohio,501-1000,
australia,2013,do3AZ5HuVIp8a66hdzCNZA8a7S8c,legal services,linkedin.com/company/lexicon-lawyers,manuka,lexicon lawyers,australian capital territory,1-10,lexiconlawyers.com.au
,,oheqmEpc3DuPNv7NDj0mjAGnniWX,legal services,linkedin.com/company/matthew-hurst-paralegal-and-notary-services-llc,,matthew hurst paralegal and notary services llc,,1-10,
united states,2017,RBwKdsp1HvdLSo28D2FOwAPFhIL5,,linkedin.com/company/saad-dixon-law-offices-pllc,huntington,"saad dixon law offices, pllc",west virginia,11-50,saaddixonlaw.com
united states,,iOHnLsuwBZqyZ026SBEvgAN0hGwh,"health, wellness and fitness",linkedin.com/company/lotus-counseling-&-wellness-center,clearwater,lotus counseling & wellness center,florida,1-10,lotuscwc.com
,,FJCbwseCGNLvHGgxSjCwCAgXSCAA,law practice,linkedin.com/company/diazwiechers-ip-trademarks-and-plant-varieties-,,diazwiechers ip (trademarks and plant varieties),,1-10,diazwiechers.com
united kingdom,,ho4daDLrH8j20kKaYCbQyQ42A51q,legal services,linkedin.com/company/the-costs-partnership-llp,wickford,the costs partnership llp,england,1-10,
united states,1993,mGJlblYxFZT4LBsz7jmndgtiiYfW,legal services,linkedin.com/company/maurer-&-associates-pc,ridgefield,maurer & associates pc,connecticut,1-10,maurerandassociates.com
nigeria,2006,wWC4MrojBvnwdEMf7oNZvQGqUtHT,law practice,linkedin.com/company/jide-ogundimu-&-co-solicitors,lagos,jide ogundimu & co solicitors,lagos,1-10,jideogundimucosolicitors.com
united states,,ygsGdMLc4D6ADBNQQCBiLQY31ut9,legal services,linkedin.com/company/consumer-legal-remedies-apc,beverly hills,"consumer legal remedies, apc",california,1-10,consumerlegalremedies.com
united kingdom,,DbCVYAhADJpHFrNKwykL7A53MXAo,design,linkedin.com/company/alix-lawson-ltd,,alix lawson ltd.,england,1-10,alixlawson.com
germany,2018,eASe4uRmgKmBbQgbW1JFXgLcWMms,management consulting,linkedin.com/company/lexal-law-consultings,dortmund,lexal law \ consultings,north rhine-westphalia,1-10,lexallawconsultings.de
united kingdom,,gPVyJiyCJtKm1SJozCjAdQoIJoIJ,legal services,linkedin.com/company/mr-&-ce-mattison,manchester,mr & ce mattison,england,1-10,markmattison.co.uk
australia,,mCKxkZpdykm29N8Vwvt7IA0hOxoP,law practice,linkedin.com/company/pasha-legal,doncaster,pasha legal,victoria,1-10,pashlegal.com.au
brazil,2023,WEKM27PApGC2SWQuacgoKgFPRyHZ,law practice,linkedin.com/company/advocacia-prof-dr-roberto-biava-oab-sp-483-196,,advocacia- prof. dr. roberto biava,são paulo,1-10,robertobiava.adv.br
united states,,y9i35A8yXzpXo2u0i0RJrwkaY3p8,legal services,linkedin.com/company/legal-access-paralegal-svc,torrance,legal access paralegal svc,california,1-10,
mexico,,ZMTAMMGKmRzzBMLLMyJQUAccQIRp,law practice,linkedin.com/company/all-estrategias,juárez,all estrategias,mexico city,201-500,allestrategias.com
brazil,,11TrCPEcxFQzG51v3bgKDAF5O5s4,law practice,linkedin.com/company/langer-advogados-associados,porto alegre,langer advogados associados,rio grande do sul,1-10,langeradvogados.com.br
united states,1997,5qRQUhje3RSsRMiRCnpk5AT6yML9,legal services,linkedin.com/company/jeff-downer-bail-bonds,indianapolis,jeff downer bail bonds,indiana,1-10,jeffdownerbailbonds.com
united states,,3v7Uu66KrKjeZvvvNB46VwetMyel,legal services,linkedin.com/company/joseph-shemaria,los angeles,joseph shemaria,california,1-10,
india,,FHqBnBMeiMWa3GbhP4a2CAdRSFK4,legal services,linkedin.com/company/advocate--pramod-kumar-dubey-kanpur-u.p.-,juhi colony,"advocate- pramod kumar dubey, kanpur (u.p.)",uttar pradesh,1-10,advocate-pramod-kumar-dubey-kanpur-up.business.site
united states,,fNBRx7m87eFw7PcCS2KulwQFUDLL,legal services,linkedin.com/company/blau-law-firm-pllc,oklahoma city,blau law firm pllc,oklahoma,1-10,
russia,1991,H9XCDMapQzDXMhdMNtSkPwep0aOb,legal services,linkedin.com/company/pleshakov-ushkalov-and-partners,,"pleshakov, ushkalov and partners",moscow,11-50,advocates.su
colombia,2014,14ucZJLPOHCYbIMP4nnaCgEdBZUb,law practice,linkedin.com/company/consejuridico,,consejuridico,,1-10,consejuridico.com
iceland,,SGnQRAvRwzYBCBOdJCTRIgcXcZwA,legal services,linkedin.com/company/advocacia-ladeira,akureyri,advocacia ladeira,akureyri,1-10,advocacialadeira.com
india,2007,j7tvuInu7vsUw4GB8hyCOAtuZhoA,legal services,linkedin.com/company/delkash-associates-law-firm,saket,delkash associates law firm,delhi,1-10,delkashindia.com
united states,,2oTdDpTBrfAmyc5jlp0UDgNEFdCA,mental health care,linkedin.com/company/hoechstetter-counseling-inc,delray beach,hoechstetter counseling inc,florida,1-10,hoechstettercounseling.com
canada,,vmQktkr70AVoaMq1Z1RtpAqm6Sqj,,linkedin.com/company/stern-shapray-criminal-lawyers,surrey,stern shapray criminal lawyers,british columbia,1-10,sternshapraylaw.ca
united states,,Sw5yJweXrDnBL0KlmDoilgfjjn5f,legal services,linkedin.com/company/dga-detectives-&-bail-bonds,simi valley,dga detectives & bail bonds,california,1-10,dgadetectives.com
united states,,Z0Xv0DWy7SS77yfgvAfrnQ0BcCj5,law practice,linkedin.com/company/hasselbalch-law-office,,hasselbalch law office,minnesota,1-10,hasselbalchlaw.com
united states,2006,6BPrvjNHNvUd5OwkPCMIPgrzhKM4,legal services,linkedin.com/company/ksi-consulting-inc.,adelanto,ksi consulting inc.,california,1-10,ksiconsultingco.us
united states,,nvlJzITbaFChY9tCXTKQkwCxuLHx,mental health care,linkedin.com/company/ascension-counseling,fort myers,ascension counseling,florida,1-10,ascensioncounseling.net
united states,1988,FQdyhJwZCIyLHfJ4qfDCBAhgVx1s,law practice,linkedin.com/company/barnettgill,brandon,barnett gill,florida,1-10,gilllawoffice.com
united states,2017,Pg4wdWEVx0ukf5RGGUWQHwZI5Ljo,law practice,linkedin.com/company/jaredeshapiro,boca raton,"the law office of jared e. shapiro, p.a.",florida,1-10,jaredeshapiro.law
united states,,qLPC51RHBw8Lvmvsr2wQtw482SKt,,linkedin.com/company/law-offices-of-margaret-a.-zuleger-p.c.,schaumburg,"law offices of margaret a. zuleger, p.c.",illinois,1-10,zulegerlaw.com
nigeria,2021,N2FyesKr1XF1TXFQqNOfNQlqQrFW,legal services,linkedin.com/company/platinum-taylor-hill-lp,lagos,platinum & taylor hill lp,lagos,51-200,pthlp.com
united states,,39wBX7IpEWEmXyYsAPX19w9iaJy7,,linkedin.com/company/law-office-of-daniel-aaronson,kenai,law office of daniel aaronson,alaska,11-50,
united kingdom,,eQnEcz26sTQCBlkoR1oAjQEHctUD,law practice,linkedin.com/company/verity-projects-ltd,,verity projects ltd,,1-10,
united states,,XQ9QCQ96bX96BMqugVP8kw9uUpy4,,linkedin.com/company/lavonne-lawson,los angeles,lavonne lawson,california,1-10,
mexico,,us9OEHQ30HOzN7IqBBzWkwIXLEcL,legal services,linkedin.com/company/cebreros,naucalpan de juárez,cebreros,state of mexico,1-10,cebreros.com.mx
united states,,IK7XjYCCT33BmItCXRbYywfLF5IB,legal services,linkedin.com/company/bain-&-bain-law,novi,bain & bain law,michigan,1-10,bainandbainlaw.com
brazil,1978,QlBICXUsIC3xVtCRanM7tgF8VLLk,higher education,linkedin.com/company/caepp,são paulo,centro de apoio ensino e pesquisa em pediatria - caepp,são paulo,1-10,caepp.com.br
united kingdom,2001,sox2ClBJJkMS7BEPYLVKSAV7XGnQ,staffing and recruiting,linkedin.com/company/stonor-legal-recruitment,,stonor legal recruitment,,1-10,stonorlegal.com
united states,,nFIUbetMNu0PWV05GxwrogTRreUt,accounting,linkedin.com/company/roberts-lawn-care,omaha,roberts lawn care,nebraska,11-50,landscapingmonroe.com
united states,,f3UCEDpxANrpyTkLPEZ1WAf4c2UX,law practice,linkedin.com/company/a-davis-firm-p.c.,dallas,"a-davis firm, p.c.",texas,1-10,a-dfirm.com
united states,2018,jtSwLVRY5Mib2qCrUZ74mA8JIumG,legal services,linkedin.com/company/afl-attorney-firm-lopez,tarrytown,afl - attorney firm lopez,new york,1-10,attorneyfirmlopez.com
united states,2004,HtM9rshhMjxIiAW8B4zqEQCSFioy,legal services,linkedin.com/company/healthedata,overland park,poulter & company,kansas,1-10,poulterco.com
france,2021,ZxI2jC4ITD5GwndM4dkNFALynmRc,legal services,linkedin.com/company/m-s-b-formalites,hénin-beaumont,msb formalités,hauts-de-france,11-50,msb-formalites.fr
australia,,1IG7fCYX1hyHVvbFydYWNApeIwXn,law practice,linkedin.com/company/coddington-lamont,,coddington lamont,,1-10,family-law.com.au
,2022,fmwWvPCJF9rrm2BBud2BvwQJjm5m,law practice,linkedin.com/company/the-djf-law-firm-pllc,,"the djf law firm, pllc",,1-10,thedjflawfirm.com
india,2006,0V5rtJ4rHPPzvJ6wIYa0YwDJOYSs,legal services,linkedin.com/company/legasis-service-pvt.-ltd.,bāndra,legasis private limited,maharashtra,201-500,legasis.in
